episode,reward
0,-18.0
1,-18.0
2,-18.0
3,-18.0
4,-18.0
5,-18.0
6,-19.0
7,-19.0
8,-18.0
9,-18.0
10,-19.0
11,-18.0
12,-18.0
13,-18.0
14,-18.0
15,-18.0
16,-18.0
17,-18.0
18,-18.0
19,-18.0
20,-27.0
21,-18.0
22,-19.0
23,-18.0
24,-18.0
25,-19.0
26,-18.0
27,-18.0
28,-20.0
29,-18.0
30,-18.0
31,-19.0
32,-18.0
33,-20.0
34,-18.0
35,-18.0
36,-18.0
37,-18.0
38,-18.0
39,-19.0
40,-18.0
41,-18.0
42,-18.0
43,-18.0
44,-18.0
45,-18.0
46,-18.0
47,-18.0
48,-18.0
49,-18.0
50,-20.0
51,-18.0
52,-18.0
53,-19.0
54,-18.0
55,-18.0
56,-19.0
57,-18.0
58,-18.0
59,-18.0
60,-19.0
61,-18.0
62,-21.0
63,-18.0
64,-18.0
65,-18.0
66,-18.0
67,-21.0
68,-18.0
69,-18.0
70,-18.0
71,-19.0
72,-18.0
73,-18.0
74,-18.0
75,-18.0
76,-18.0
77,-18.0
78,-18.0
79,-19.0
80,-18.0
81,-18.0
82,-18.0
83,-18.0
84,-18.0
85,-19.0
86,-19.0
87,-18.0
88,-18.0
89,-18.0
90,-20.0
91,-18.0
92,-21.0
93,-18.0
94,-18.0
95,-19.0
96,-18.0
97,-20.0
98,-18.0
99,-20.0
