episode,reward
0,-19.0
1,-18.0
2,-18.0
3,-18.0
4,-18.0
5,-18.0
6,-18.0
7,-19.0
8,-18.0
9,-18.0
10,-18.0
11,-21.0
12,-18.0
13,-18.0
14,-18.0
15,-18.0
16,-18.0
17,-18.0
18,-19.0
19,-18.0
20,-18.0
21,-18.0
22,-18.0
23,-18.0
24,-20.0
25,-18.0
26,-18.0
27,-18.0
28,-18.0
29,-18.0
30,-18.0
31,-18.0
32,-19.0
33,-21.0
34,-18.0
35,-19.0
36,-19.0
37,-21.0
38,-18.0
39,-18.0
40,-20.0
41,-18.0
42,-18.0
43,-18.0
44,-18.0
45,-18.0
46,-18.0
47,-18.0
48,-18.0
49,-18.0
50,-19.0
51,-18.0
52,-18.0
53,-18.0
54,-18.0
55,-18.0
56,-18.0
57,-20.0
58,-18.0
59,-20.0
60,-18.0
61,-19.0
62,-18.0
63,-18.0
64,-18.0
65,-18.0
66,-18.0
67,-21.0
68,-20.0
69,-20.0
70,-18.0
71,-18.0
72,-18.0
73,-19.0
74,-18.0
75,-18.0
76,-18.0
77,-18.0
78,-18.0
79,-18.0
80,-18.0
81,-18.0
82,-18.0
83,-19.0
84,-18.0
85,-18.0
86,-18.0
87,-18.0
88,-18.0
89,-18.0
90,-18.0
91,-18.0
92,-18.0
93,-18.0
94,-18.0
95,-18.0
96,-18.0
97,-18.0
98,-20.0
99,-19.0
100,-19.0
101,-18.0
102,-18.0
103,-18.0
104,-18.0
105,-19.0
106,-12.0
107,-18.0
108,-18.0
109,-18.0
110,-18.0
111,-18.0
112,-18.0
113,-18.0
114,-18.0
115,-19.0
116,-18.0
117,-18.0
118,-18.0
119,-18.0
120,-18.0
121,-18.0
122,-18.0
123,-18.0
124,-18.0
125,-18.0
126,-18.0
127,-18.0
128,-18.0
129,-18.0
130,-18.0
131,-18.0
132,-18.0
133,-18.0
134,-18.0
135,-18.0
136,-18.0
137,-18.0
138,-18.0
139,-18.0
140,-18.0
141,-18.0
142,-18.0
143,-18.0
144,-18.0
145,-18.0
146,-18.0
147,-19.0
148,-12.0
149,-18.0
150,-18.0
151,-18.0
152,-18.0
153,-18.0
154,-18.0
155,-20.0
156,-18.0
157,-18.0
158,-19.0
159,-18.0
160,-18.0
161,-18.0
162,-18.0
163,-18.0
164,-18.0
165,-18.0
166,-18.0
167,-18.0
168,-19.0
169,-18.0
170,-18.0
171,-18.0
172,-18.0
173,-18.0
174,-18.0
175,-18.0
176,-18.0
177,-18.0
178,-18.0
179,-18.0
180,-18.0
181,-18.0
182,-18.0
183,-18.0
184,-18.0
185,-18.0
186,-18.0
187,-10.0
188,-20.0
189,-18.0
190,-5.0
191,-18.0
192,-27.0
193,-18.0
194,-18.0
195,-18.0
196,-18.0
197,-18.0
198,-18.0
199,-18.0
200,-18.0
201,-18.0
202,-18.0
203,-18.0
204,-18.0
205,-18.0
206,-18.0
207,-21.0
208,-19.0
209,-18.0
210,-18.0
211,-18.0
212,-24.0
213,-18.0
214,-18.0
215,-18.0
216,-18.0
217,-18.0
218,-18.0
219,-18.0
220,-18.0
221,-18.0
222,-18.0
223,-18.0
224,-18.0
225,-18.0
226,-18.0
227,-18.0
228,-18.0
229,-18.0
230,-18.0
231,-18.0
232,-18.0
233,-18.0
234,-18.0
235,-18.0
236,-18.0
237,-18.0
238,-4.0
239,-18.0
240,-20.0
241,-18.0
242,-18.0
243,-18.0
244,-18.0
245,-21.0
246,-18.0
247,-22.0
248,-18.0
249,-4.0
250,-34.0
251,-22.0
252,-18.0
253,-4.0
254,-20.0
255,-18.0
256,-18.0
257,-18.0
258,-18.0
259,-19.0
260,-18.0
261,-18.0
262,-20.0
263,-18.0
264,-20.0
265,-19.0
266,-18.0
267,-18.0
268,-18.0
269,-18.0
270,-18.0
271,-18.0
272,-18.0
273,-20.0
274,-18.0
275,-18.0
276,-18.0
277,-18.0
278,-18.0
279,-18.0
280,-18.0
281,-18.0
282,-18.0
283,-18.0
284,-18.0
285,-18.0
286,-18.0
287,-20.0
288,-18.0
289,-18.0
290,-94.0
291,-20.0
292,-21.0
293,-18.0
294,-18.0
295,-18.0
296,-18.0
297,-18.0
298,-18.0
299,-18.0
300,-18.0
301,-20.0
302,-18.0
303,-18.0
304,-18.0
305,-18.0
306,-18.0
307,-18.0
308,-18.0
309,-18.0
310,-18.0
311,-18.0
312,-18.0
313,-22.0
314,-20.0
315,-19.0
316,-18.0
317,-18.0
318,-18.0
319,-20.0
320,-18.0
321,-18.0
322,-18.0
323,-18.0
324,-18.0
325,-18.0
326,-1.0
327,-1.0
328,0.0
329,-25.0
330,-18.0
331,-18.0
332,-18.0
333,-12.0
334,-32.0
335,-29.0
336,-24.0
337,-21.0
338,-18.0
339,-18.0
340,-18.0
341,-18.0
342,-18.0
343,3.0
344,-46.0
345,-18.0
346,-18.0
347,-18.0
348,-18.0
349,-20.0
350,-18.0
351,3.0
352,-20.0
353,-18.0
354,-18.0
355,-18.0
356,-18.0
357,-19.0
358,-20.0
359,-18.0
360,-18.0
361,-18.0
362,-18.0
363,-18.0
364,-18.0
365,-18.0
366,-18.0
367,-20.0
368,-20.0
369,-18.0
370,-18.0
371,-18.0
372,-18.0
373,-18.0
374,-18.0
375,-18.0
376,-18.0
377,-18.0
378,-18.0
379,-20.0
380,-4.0
381,-18.0
382,-18.0
383,-21.0
384,-20.0
385,-18.0
386,-18.0
387,-18.0
388,-18.0
389,-18.0
390,-18.0
391,-18.0
392,3.0
393,-18.0
394,-20.0
395,-18.0
396,-24.0
397,-18.0
398,-19.0
399,-18.0
400,-18.0
401,-18.0
402,-18.0
403,-18.0
404,-18.0
405,-18.0
406,-18.0
407,-18.0
408,-18.0
409,-18.0
410,-18.0
411,-18.0
412,-18.0
413,-18.0
414,-18.0
415,-18.0
416,-18.0
417,-18.0
418,-18.0
419,-20.0
420,-28.0
421,-18.0
422,-18.0
423,-18.0
424,-18.0
425,-18.0
426,-30.0
427,-18.0
428,-18.0
429,-20.0
430,-20.0
431,-18.0
432,-18.0
433,-18.0
434,-18.0
435,-20.0
436,-18.0
437,-18.0
438,-18.0
439,-18.0
440,-18.0
441,-18.0
442,-29.0
443,-18.0
444,-18.0
445,-18.0
446,-18.0
447,-20.0
448,-20.0
449,-18.0
450,-18.0
451,-20.0
452,-18.0
453,-18.0
454,-31.0
455,-18.0
456,-18.0
457,-18.0
458,-18.0
459,-18.0
460,-25.0
461,-18.0
462,-23.0
463,-18.0
464,-18.0
465,-18.0
466,-20.0
467,-20.0
468,-18.0
469,-18.0
470,-20.0
471,-19.0
472,-18.0
473,-18.0
474,-20.0
475,-18.0
476,-19.0
477,-18.0
478,-19.0
479,-18.0
480,-19.0
481,-18.0
482,-38.0
483,-18.0
484,-18.0
485,-21.0
486,-18.0
487,-18.0
488,-18.0
489,-19.0
490,-20.0
491,-18.0
492,-18.0
493,-20.0
494,-18.0
495,-18.0
496,-18.0
497,-18.0
498,-18.0
499,-18.0
500,-18.0
501,-18.0
502,-18.0
503,-18.0
504,-18.0
505,-20.0
506,-21.0
507,-18.0
508,-18.0
509,-20.0
510,-18.0
511,-18.0
512,-18.0
513,-18.0
514,-18.0
515,-1.0
516,-18.0
517,-18.0
518,-18.0
519,-18.0
520,-23.0
521,-20.0
522,-18.0
523,-18.0
524,-18.0
525,-18.0
526,-18.0
527,-18.0
528,-18.0
529,-22.0
530,-19.0
531,-20.0
532,-18.0
533,-18.0
534,-18.0
535,-18.0
536,-18.0
537,-18.0
538,-18.0
539,-18.0
540,-18.0
541,-20.0
542,-18.0
543,-18.0
544,-1.0
545,-18.0
546,1.0
547,-20.0
548,-18.0
549,-19.0
550,-18.0
551,-18.0
552,-20.0
553,-18.0
554,-18.0
555,-18.0
556,-32.0
557,-18.0
558,-20.0
559,-18.0
560,-18.0
561,-18.0
562,-18.0
563,-18.0
564,-20.0
565,-18.0
566,-19.0
567,-18.0
568,-19.0
569,-18.0
570,-18.0
571,-18.0
572,-18.0
573,-18.0
574,-20.0
575,-18.0
576,-18.0
577,-18.0
578,-18.0
579,-18.0
580,-19.0
581,-18.0
582,-18.0
583,-18.0
584,-18.0
585,-18.0
586,-18.0
587,-18.0
588,-18.0
589,-19.0
590,-18.0
591,-19.0
592,-21.0
593,-18.0
594,-18.0
595,-18.0
596,-18.0
597,-18.0
598,-19.0
599,-19.0
600,-18.0
601,-20.0
602,-18.0
603,-18.0
604,-18.0
605,-18.0
606,-18.0
607,-18.0
608,-18.0
609,-20.0
610,-20.0
611,-20.0
612,-21.0
613,-18.0
